ASV_ID	Phylum	Class	Order	Family	Genus	Species	pct_identity	status	records	selected_level	BIN	flags	Original_OTU_Count
6a95f799175a498cd2804d2aa105a92f	Arthropoda	Copepoda	Calanoida				86.957	public	1	Order		4	1
52de7080b366a79978dfcd1fc97f2f27	Arthropoda	Insecta	Lepidoptera				88.715	public	1	Order		1--4	1
72d174710bedbfacb313f2491fd03843	Arthropoda	Insecta	Lepidoptera				85.577	public	1	Order		1--4	1
4329bcfc0fb67f05217205ed2d5f242c	Arthropoda	Insecta	Hymenoptera				86.392	public	1	Order		4	1
b7184fb33673418a238fc3e0535ae55c	Arthropoda	Insecta	Lepidoptera				88.782	public	1	Order		1--2--4	1
0abeca0af65a6134579464abf3ac2044	Arthropoda	Insecta	Lepidoptera				86.604	public	1	Order		1--4	1
0917c9a275bd26763400fac8e7bc930d	Arthropoda	Insecta	Lepidoptera				85.574	public	2	Order		1--2	1
753a2c8fbcb7ebcefe44d81a98cf621f	Arthropoda	Insecta	Hemiptera				85.577	public	2	Order		1--2	1
13caefcca624bef29782b6d9803e3d3f	Arthropoda	Insecta	Lepidoptera				87.147	public	1	Order		1--4	1
249dae7af52c0a37f869f1814db229d3	Arthropoda	Insecta	Hemiptera	Miridae			90.881	public	2	Family		1	1
0c5122a1ff4d56675353a79d29b038e2	Arthropoda	Insecta	Hymenoptera				85.312	public	1	Order		4	1
8702808833b436c19e6b56d68bfbeeba	Arthropoda	Insecta	Lepidoptera				85.0	public	1	Order		1--4	1
e8d3c52fb646db70890e055ed8c06b06	Arthropoda	Insecta	Lepidoptera				88.438	public	1	Order		1--4	1
